date,title,review,rating,username,helpful_votes,review_length,platform,language,location,version,verified_purchase,detect_language,sentiment
2024-12-24,East list local interesting far magazine father.,impressive natural language understanding good newspaper,1,darren55,25,9,Google Play,de,Nepal,2.0.4,No,en,negative
2024-07-26,Road determine picture figure hard experience red.,give wrong answer outdated info student movement power condition camera contain,2,davistyler,35,14,Flipkart,es,Panama,2.6.5,No,en,negative
2024-08-22,Policy social past analysis whole.,great tool generate content quickly interesting evening population claim,5,andrea59,94,10,App Store,es,Denmark,4.2.2,No,en,positive
2025-04-24,News financial billion four foreign.,great tool generate content quickly start method pressure,3,dcooper,50,15,Amazon,de,Brunei Darussalam,4.4.2,No,en,neutral
2024-08-15,To skill she case sing stop likely.,excellent language translation grammar fix price structure rate quality,1,christine79,33,11,Flipkart,fr,United States Minor Outlying Islands,5.1.1,Yes,en,negative
2024-07-04,Involve office space crime.,explain complex topic clearly simply detail visit current pretty suddenly find,4,qfields,29,12,Flipkart,fr,Spain,2.1.5,Yes,en,positive
2024-08-13,American wait board improve there court TV.,excellent language translation grammar fixes fund country expert,2,david89,45,10,App Store,en,Kuwait,3.2.7,No,en,negative
2025-02-22,Control drop economic easy ability become figure.,give wrong answer outdated info catch easy include sister speech,3,mark52,77,12,App Store,en,Antigua and Barbuda,5.7.2,No,en,neutral
2024-12-12,Pick rock body stuff off model brother.,give wrong answer outdated info trial suffer pull dark,1,glewis,66,13,Google Play,de,Hong Kong,5.7.8,Yes,en,negative
2025-02-23,School involve teach rather long value director.,helpful code debug task tax hard thousand environment sell operation,2,davispatricia,33,19,App Store,en,Brunei Darussalam,4.0.6,No,en,negative
2025-03-07,Whole last control second forward Mr.,impressive natural language understanding course section human,2,vcarpenter,86,10,App Store,fr,Guatemala,3.2.0,Yes,en,negative
2025-04-04,Provide move provide forget.,good summarize large document help opportunity investment picture,2,andrea65,54,10,App Store,es,Seychelles,2.7.1,Yes,en,negative
2024-12-15,Minute environment blood.,response fast peak hour develop old network model special defense family raise,1,millerlauren,99,16,Google Play,es,French Guiana,1.1.3,No,en,negative
2024-09-28,Tough develop else lose trade however.,good summarize large document hospital wide resource fine world suggest stock,3,don30,88,16,Flipkart,de,South Georgia and the South Sandwich Islands,2.2.4,Yes,en,neutral
2025-06-12,Right several energy couple help street.,good summarize large document piece watch head,5,adamdoyle,73,10,Amazon,en,Switzerland,3.6.7,No,en,positive
2025-03-30,Guy turn until boy.,response fast peak hour clear meeting serve author reality difficult opportunity turn well physical,3,ethan46,86,19,Amazon,en,Faroe Islands,2.7.1,No,en,neutral
2024-10-21,Left cultural it ten affect general.,impressive natural language understand information employee realize,2,awilliams,89,9,Flipkart,fr,Liechtenstein,4.7.6,No,en,negative
2025-05-16,Thousand recent reveal likely son natural less difference.,helpful code debug task option past,5,taylorkatelyn,19,10,App Store,fr,Cote d'Ivoire,4.6.2,No,en,positive
2024-12-23,Detail bar support military hair.,great tool generate content quickly enjoy stop card finish author design building property candidate wind determine education country deal,2,beltranmegan,19,21,Google Play,en,Mexico,1.0.1,No,en,negative
2025-03-15,Drive shoulder room family data.,impressive natural language understanding term,5,blang,84,7,Flipkart,fr,Isle of Man,1.5.8,No,en,positive
2025-02-12,Door shake thank worker old accept.,helpful code debug task strategy process opportunity education father theory glass,3,mcclaingregory,63,14,App Store,en,Mozambique,5.0.1,No,en,neutral
2025-02-20,Most our along later executive.,lack context long conversation low fight natural rest,4,matthew75,69,10,Amazon,en,Macao,3.4.4,No,en,positive
2025-04-10,Keep treat many.,excellent language translation grammar fix late personal style,3,hhicks,25,11,Flipkart,en,Isle of Man,3.8.2,Yes,en,neutral
2025-06-09,That training line anyone organization beautiful.,explain complex topic clearly simply ready collection question ground conference close fine,4,ugraves,59,14,Amazon,de,Libyan Arab Jamahiriya,4.2.8,No,en,positive
2024-12-14,Body road model kitchen that radio act.,need improvement handle technical query paint speech door learn board,5,benjamin65,59,14,Flipkart,es,Turks and Caicos Islands,3.6.5,No,en,positive
2024-12-19,Why plant either interest yes.,give wrong answer outdated info family behavior leave moment reflect size save responsibility mean,5,jamesmccullough,70,18,App Store,fr,Togo,5.5.3,No,en,positive
2024-12-08,Such spring else all good identify car tax.,great tool generate content quickly different customer firm allow surface little material yeah box,2,vargastina,90,19,Amazon,es,Angola,1.3.8,No,en,negative
2025-04-21,Individual still such sometimes market to a.,give wrong answer outdated info blue recognize thought,2,stonelarry,52,11,Amazon,en,Micronesia,2.5.5,No,en,negative
2024-08-27,Wait authority little final consider movement.,need improvement handle technical query art near nature mention,3,youngemily,77,14,Amazon,es,Germany,1.7.4,Yes,en,neutral
2024-10-18,Anyone every any authority cover though.,lack context long conversation raise term fund offer director officer environment congress investment scientist,1,dillon46,60,19,Google Play,en,Lesotho,2.2.5,Yes,en,negative
2025-05-28,Local recent serious plan media benefit certainly.,explain complex topic clearly simply finish certainly economic collection time,3,irodriguez,57,13,App Store,en,Somalia,1.2.4,Yes,en,neutral
2025-04-04,White able bank base.,great tool generate content quickly occur matter rest place scientist course camera,3,bjones,85,13,App Store,en,Mexico,3.2.9,Yes,en,neutral
2025-03-28,Field state evidence enter.,good summarize large document far city figure suggest explain study,3,victoriaburns,47,16,Flipkart,fr,Guernsey,2.0.6,Yes,en,neutral
2025-03-29,Staff person person idea fall leader yeah.,response fast peak hour pattern college game describe value clearly daughter fast design,5,edgarmorris,62,19,Amazon,de,Algeria,3.9.6,No,en,positive
2024-10-13,Sense though where move nation nearly.,good summarize large document unit receive teacher yeah tree,2,gbrown,63,12,Flipkart,en,Armenia,2.6.6,Yes,en,negative
2024-10-26,State side thought those turn toward make my.,great tool generate content quickly international fear price year entire catch,4,trevorvazquez,37,13,App Store,fr,Liechtenstein,3.6.1,No,en,positive
2025-01-15,Fear story parent direction son.,good summarize large document authority main actually,4,derekgonzalez,63,9,Google Play,en,Nepal,3.4.6,Yes,en,positive
2025-04-21,Collection term show statement about wish impact.,lack context long conversation loss entire age east work,2,gpatel,9,15,Amazon,fr,Korea,2.0.1,Yes,en,negative
2024-12-31,Ability keep organization total maintain.,excellent language translation grammar fix thousand city rest main black peace,1,rodriguezmadison,62,16,Flipkart,es,Morocco,5.1.7,No,en,negative
2024-08-02,Will law machine director good thought much.,good summarize large document thousand discuss relate dinner business movie deal,2,bmartinez,95,14,Google Play,es,Denmark,2.1.1,No,en,negative
2024-07-02,Fear executive rest.,explain complex topic clearly simply service system computer concern,5,psmith,93,10,Google Play,en,Denmark,5.1.1,Yes,en,positive
2024-07-26,Wear sign see child tonight effect himself Mr.,response fast peak hour military pass total growth product present economic chair technology student,2,benjamin17,45,20,Flipkart,en,Nicaragua,3.9.9,Yes,en,negative
2025-05-12,Try laugh against modern class.,great tool generate content quickly image politic task stock,3,sarah01,88,12,App Store,fr,Fiji,1.1.6,Yes,en,neutral
2024-08-15,Book how begin son expert standard result.,explain complex topic clearly simply movie add speech laugh million network high particularly,1,margaretgolden,92,18,Flipkart,fr,New Zealand,1.0.9,No,en,negative
2024-07-05,Successful far use usually million.,need improvement handle technical query gas child right,5,cellis,94,11,Flipkart,es,San Marino,3.3.8,Yes,en,positive
2024-11-09,Especially local minute worry sit religious.,great tool generate content quickly huge yard year friend field season include father,4,stevenmitchell,47,17,App Store,de,Sudan,3.6.0,No,en,positive
2025-02-11,Because mouth expect turn control win.,good summarize large document senior voice staff win body machine practice beautiful,4,stevensonkenneth,30,13,App Store,en,Macao,2.9.9,No,en,positive
2025-01-01,Early at where sure kid computer over stand.,explain complex topic clearly simply property kitchen value remember,3,leejames,90,10,Amazon,fr,Martinique,1.5.3,Yes,en,neutral
2024-10-14,Skill off agree together person.,give wrong answer outdated info argue life yeah threat yard race,3,kimberly89,26,13,Flipkart,en,Pitcairn Islands,2.8.0,No,en,neutral
2025-03-11,White use return time.,great tool generate content quickly important suffer,5,ashleywilliams,23,9,Google Play,de,Austria,2.7.7,No,en,positive
